id,amount_of_chicken,amount_of_feeding,ammonia,temperature,humidity,light_intensity,noise,total_egg_production
98,2678,201,16.2,30.5,53.1,283,235,1919
99,2769,170,13.4,28.4,45.8,230,179,2098
100,2752,195,14.2,28.7,52.8,346,93,2145
101,2667,205,16.0,31.5,47.2,259,214,1909
102,2638,182,17.5,27.9,46.8,308,227,1986
103,2745,183,15.1,29.8,48.3,333,144,2069
104,2726,193,13.0,27.7,49.8,312,229,2030
105,2623,179,18.3,31.7,51.3,235,143,1932
106,2795,176,15.3,30.8,55.1,276,224,2042
107,2725,170,15.3,29.5,48.5,256,116,2050
108,2777,196,14.2,32.2,53.9,370,84,2088
109,2680,181,14.4,32.4,49.4,361,75,2040
110,2738,194,15.0,28.4,49.0,357,235,2033
111,2613,178,14.1,28.2,48.2,354,106,1964
112,2761,203,17.3,31.0,48.4,233,216,1998
113,2657,172,15.3,28.1,54.2,357,149,2025
114,2669,191,17.5,32.4,47.7,371,112,1955
115,2753,197,17.0,28.2,45.8,336,162,2126
116,2729,182,17.4,28.9,48.3,380,223,2072
117,2725,174,15.2,29.9,48.7,369,171,2032
118,2682,177,18.4,28.7,49.2,335,86,2018
119,2721,189,14.8,30.8,54.0,268,201,2065
120,2632,197,18.3,29.2,46.1,342,100,1992
121,2716,165,16.8,29.5,52.2,269,94,2059
122,2667,186,16.2,29.5,45.9,314,211,1958
123,2681,205,16.8,31.3,54.6,239,233,1888
124,2761,183,18.5,31.2,49.8,255,237,2010
125,2625,193,13.5,29.0,45.3,313,89,2006
126,2695,192,13.4,30.2,51.2,276,118,2013
127,2756,189,16.2,28.7,55.0,266,134,2085
128,2665,194,14.0,27.5,53.9,303,214,1976
129,2713,187,18.4,29.0,55.6,294,191,2048
130,2650,189,17.6,28.0,49.2,321,222,1941
131,2779,183,12.6,31.7,49.4,232,219,2092
132,2799,168,18.0,31.2,54.2,303,133,2083
133,2690,179,16.3,30.6,52.5,265,235,1912
134,2760,167,14.4,29.7,51.4,263,98,2159
135,2683,191,13.6,28.2,50.9,323,210,2025
136,2669,175,14.0,31.6,50.3,305,161,2021
137,2719,169,13.3,32.3,54.5,331,217,1973
138,2701,165,14.1,28.1,49.1,297,224,2015
139,2763,188,13.2,28.7,45.3,373,158,2156
140,2656,169,16.3,29.8,52.7,334,104,1969
141,2609,184,18.5,28.1,47.6,367,109,1969
142,2694,199,15.0,31.2,46.7,336,242,1913
143,2725,204,14.9,32.3,45.4,324,130,2018
144,2660,188,13.1,30.9,51.0,321,90,2019
145,2648,172,18.2,31.6,46.0,284,239,1913
146,2605,168,17.2,28.7,46.4,374,127,1920
147,2795,200,13.7,28.6,54.6,314,112,2186
148,2752,165,14.2,32.4,55.9,368,139,2080
149,2628,166,13.3,29.3,53.7,380,157,1938
150,2667,168,13.3,29.6,46.3,246,196,1995
151,2692,197,16.1,29.8,47.4,387,86,2077
152,2768,198,14.3,30.7,45.3,352,177,2053
153,2627,196,16.8,29.7,54.9,312,230,1883
154,2632,182,16.2,30.4,52.8,327,227,1928
155,2716,197,16.1,28.0,52.7,371,130,2064
156,2658,191,14.5,29.8,49.6,254,155,1994
157,2770,181,14.7,28.3,55.2,247,98,2176
158,2623,192,13.1,31.2,53.9,372,90,2009
159,2743,200,14.5,28.1,48.9,338,88,2181
160,2753,184,14.6,30.4,47.3,353,132,2117
161,2689,200,14.7,31.3,51.3,339,218,2027
162,2759,204,16.5,30.3,51.7,298,82,2053
163,2779,184,18.0,29.3,47.0,266,219,2060
164,2617,174,16.9,32.4,46.0,365,130,1911
165,2716,186,13.4,29.1,48.6,375,227,1979
166,2613,174,13.4,30.6,52.4,299,188,1968
167,2724,203,15.2,28.9,53.3,259,163,2047
168,2672,202,15.4,30.8,45.5,331,228,1901
169,2652,184,18.2,31.3,53.4,304,158,1899
170,2727,192,13.6,29.4,52.7,358,218,2076
171,2690,169,14.9,31.2,49.8,347,94,2076
172,2747,192,15.9,31.0,49.6,259,178,1971
173,2683,175,17.3,30.6,54.2,322,97,2008
174,2627,180,15.1,29.5,45.9,309,161,1943
175,2799,175,13.0,30.7,50.8,279,164,2084
176,2765,174,13.9,28.2,47.2,384,114,2163
177,2767,169,13.6,31.4,50.4,374,223,2027
178,2744,205,18.4,29.1,55.7,310,113,2060
179,2720,193,16.3,31.5,51.5,320,204,1934
180,2718,193,12.7,29.3,48.2,253,232,2042
181,2698,194,16.0,32.3,53.1,240,190,2015
182,2746,177,14.4,29.9,46.7,245,190,2003
183,2687,170,15.5,28.4,47.7,342,187,2024
184,2756,175,14.7,32.1,49.3,316,228,1950
185,2761,186,12.9,28.0,52.5,302,139,2154
186,2768,203,17.7,29.2,51.4,266,164,2041
187,2767,190,13.3,31.0,45.9,373,171,2085
188,2684,173,16.5,31.6,53.1,364,98,2025
189,2708,197,14.7,29.3,47.0,284,162,2096
190,2724,177,13.9,28.2,45.8,255,204,2089
191,2789,198,12.7,29.2,53.4,263,227,2073
192,2641,176,17.5,31.4,53.9,272,187,1871
193,2693,180,18.3,30.6,53.3,344,134,2001
194,2679,195,17.9,28.5,52.5,376,187,1990
195,2672,189,15.5,29.6,46.8,281,229,1928
196,2664,168,16.3,31.9,51.1,256,207,1977
197,2672,170,17.1,28.9,55.0,267,186,1941
198,2656,193,17.8,32.2,49.6,331,203,1899
199,2698,170,14.7,27.6,55.2,315,112,2042
200,2673,195,16.7,28.2,52.8,344,232,1922
201,2620,166,14.0,31.7,51.0,385,210,1913
202,2798,183,13.9,28.1,47.6,389,192,2067
203,2727,203,15.7,30.7,51.3,266,149,2026
204,2757,187,13.9,29.6,52.3,251,209,2115
205,2617,198,15.8,31.4,50.6,235,174,1973
206,2611,205,14.8,29.4,53.2,321,92,1984
207,2787,205,13.1,30.4,53.3,264,86,2118
208,2686,176,17.5,30.9,55.8,352,236,1904
209,2634,169,16.8,32.2,45.4,281,86,2000
210,2610,185,18.1,30.1,55.9,369,196,1883
211,2792,177,14.2,31.8,45.5,314,144,2036
212,2694,192,17.8,31.2,54.8,328,161,2036
213,2727,196,14.7,31.5,47.9,251,183,1963
214,2754,176,15.8,29.1,45.9,305,153,2069
215,2783,192,13.5,29.7,49.9,320,232,2127
216,2670,205,18.4,32.2,45.8,333,168,1939
217,2791,175,18.2,28.2,51.7,342,83,2088
218,2660,188,14.7,32.2,45.4,269,190,2003
219,2695,193,17.1,30.4,50.8,331,155,2018
220,2663,172,12.7,28.4,50.7,373,105,2038
221,2666,193,13.8,30.6,52.6,355,126,1971
222,2618,193,13.5,31.1,56.0,311,245,1898
223,2616,200,15.8,32.0,54.4,274,167,1923
224,2631,177,17.3,28.7,50.4,322,216,1955
225,2719,200,13.3,31.9,45.7,331,197,2008
226,2796,191,17.4,27.9,55.7,248,190,2090
227,2732,187,13.3,31.6,51.1,380,121,2090
228,2633,192,15.5,31.8,54.1,362,114,1943
229,2641,185,18.1,28.6,55.4,362,147,2024
230,2664,177,16.3,30.3,46.4,307,232,1951
231,2728,175,16.1,30.4,46.9,389,229,1977
232,2744,167,17.5,27.6,45.5,377,142,2101
233,2796,201,15.0,30.7,50.5,390,214,2034
234,2677,195,14.0,31.5,49.5,346,93,2049
235,2640,193,15.0,29.8,48.7,266,155,2028
236,2681,187,18.4,28.2,49.1,373,102,2017
237,2719,172,14.1,28.7,46.1,304,173,2103
238,2707,180,18.3,32.0,53.9,377,155,1939
239,2640,196,18.5,29.8,54.7,357,80,1945
240,2700,197,15.2,28.7,51.4,242,87,2053
241,2752,195,14.2,27.5,46.2,264,142,2144
242,2795,190,14.7,29.5,51.3,279,167,2109
243,2618,189,15.5,31.3,48.1,389,231,1858
244,2624,190,14.7,32.4,51.1,323,111,1922
245,2730,190,15.5,27.7,46.5,315,196,2062
246,2638,203,17.9,28.2,55.2,311,116,1991
247,2757,184,16.1,30.0,50.6,355,219,2005
248,2604,188,14.5,28.0,49.6,308,236,1892
249,2721,181,18.3,31.4,53.5,377,133,2033
250,2749,195,13.5,30.6,51.8,327,112,2127
251,2662,167,15.9,31.0,47.1,342,155,1967
252,2705,178,15.0,31.4,55.1,245,110,2034
253,2743,185,18.5,29.9,49.1,274,192,2064
254,2687,199,14.6,31.4,52.9,297,231,1960
255,2663,182,15.8,28.6,55.7,306,148,2042
256,2776,196,14.4,29.2,55.3,300,148,2059
257,2773,199,14.8,32.4,54.0,267,149,1995
258,2782,170,14.6,29.7,47.8,352,129,2073
259,2737,182,18.1,31.0,46.5,387,225,1949
260,2612,198,13.9,28.7,46.1,314,195,1921
261,2797,173,12.5,30.3,55.2,334,242,2124
262,2721,195,16.4,31.3,48.2,303,240,1917
263,2796,170,16.4,28.7,53.1,239,119,2115
264,2645,167,18.5,29.5,50.4,304,84,1942
265,2745,203,13.1,32.4,48.1,369,209,2012
266,2634,197,15.3,28.5,46.2,271,192,1997
267,2783,176,12.6,29.2,48.2,279,119,2152
268,2763,190,17.5,30.1,46.0,254,122,2127
269,2722,185,18.1,27.5,49.2,344,143,2117
270,2677,202,16.8,27.6,52.2,290,90,2084
271,2719,184,13.5,30.9,55.2,309,105,2081
272,2675,188,16.2,28.6,46.5,269,191,2031
273,2755,188,15.0,30.2,50.2,367,245,2059
274,2795,180,16.6,30.5,53.7,364,189,2064
275,2692,169,18.0,28.1,54.1,359,126,2049
276,2638,175,14.5,30.1,46.3,282,224,1947
277,2730,193,17.4,29.8,50.6,346,219,1948
278,2718,184,16.8,29.5,54.0,285,223,1948
279,2708,187,16.7,30.2,45.7,247,195,1940
280,2704,176,17.1,31.3,55.8,337,170,2045
281,2697,193,17.7,32.0,49.1,368,109,2015
282,2689,172,13.6,30.2,50.8,287,75,2098
283,2676,194,16.5,30.2,50.9,288,138,1998
284,2639,182,13.6,31.9,53.4,238,244,1910
285,2796,166,13.9,27.8,51.5,344,228,2125
286,2612,180,16.9,29.5,47.6,285,89,1943
287,2674,179,17.4,31.2,48.5,383,157,1938
288,2636,198,13.8,29.0,45.7,381,119,2037
289,2709,200,15.5,32.4,55.4,327,209,1945
290,2706,191,13.4,29.4,53.3,351,136,2105
291,2676,174,17.3,32.1,51.2,336,217,1932
292,2699,180,14.0,29.2,45.9,345,169,1990
293,2785,177,12.8,29.4,51.7,240,93,2111
294,2794,202,16.8,30.3,50.3,315,152,2135
295,2603,178,18.1,32.3,46.3,352,137,1927
296,2780,178,14.9,28.7,48.5,302,172,2095
297,2766,187,14.4,29.3,54.7,349,100,2156
298,2784,195,17.1,29.1,47.2,310,180,2020
299,2656,174,12.6,30.3,51.4,336,150,1969
300,2684,179,14.8,31.7,50.5,316,140,2030
301,2725,196,15.3,31.2,48.9,265,214,1994
302,2738,168,15.6,31.7,45.8,242,76,2054
303,2761,179,12.9,28.3,47.4,346,170,2055
304,2763,204,18.0,30.8,45.2,366,216,1997
305,2604,198,16.8,30.2,48.2,358,185,1959
306,2645,171,18.0,30.1,47.7,388,209,1904
307,2690,182,17.3,27.9,55.6,347,219,1970
308,2778,179,14.3,31.6,45.9,238,98,2084
309,2696,200,15.4,30.7,52.7,251,202,2028
310,2765,186,15.9,31.8,46.0,365,85,2044
311,2777,201,15.4,27.7,45.8,301,214,2094
312,2608,176,18.1,29.1,55.6,380,111,1999
313,2782,190,18.1,29.0,51.2,375,174,2090
314,2738,186,14.8,31.2,53.7,250,203,2045
315,2688,168,13.1,28.7,45.8,384,232,2069
316,2701,185,12.7,28.9,55.9,355,133,2056
317,2696,192,13.6,30.4,49.2,388,150,2067
318,2782,169,13.0,28.3,52.8,269,174,2099
319,2627,170,12.5,29.0,49.0,299,101,1990
320,2647,192,15.2,30.3,49.5,236,97,1993
321,2623,203,16.1,29.1,49.2,304,180,1948
322,2621,200,17.9,32.4,51.3,273,172,1860
323,2668,184,14.1,28.2,46.8,300,182,2000
324,2800,169,14.7,32.2,52.9,356,227,2049
325,2717,171,13.3,27.5,49.4,388,172,2119
326,2684,193,14.5,31.6,54.5,382,109,1994
327,2754,177,15.4,28.4,49.4,311,149,2119
328,2762,196,18.3,31.4,48.6,301,175,2000
329,2744,177,16.1,30.2,52.5,370,81,2140
330,2718,178,15.1,29.0,52.6,334,202,1988
331,2677,180,14.0,28.3,49.7,326,93,2068
332,2753,195,16.0,30.2,55.2,337,214,1971
333,2692,199,16.1,32.1,46.2,293,243,1956
334,2642,204,12.8,32.4,52.5,332,159,2019
335,2710,171,12.6,28.8,50.6,362,217,2050
336,2747,179,15.2,29.5,53.5,380,203,2002
337,2606,195,13.1,29.6,55.6,259,111,1981
338,2687,194,17.2,30.1,48.8,254,187,2009
339,2715,185,12.9,27.7,52.8,235,162,2104
340,2773,175,18.1,31.2,50.7,371,115,2039
341,2709,194,13.9,29.5,47.0,340,176,1983
342,2757,177,15.2,29.6,45.0,284,127,2062
343,2780,169,16.0,31.5,50.9,323,158,2019
344,2629,181,16.5,29.9,55.6,310,227,1914
345,2700,202,13.2,29.3,50.0,274,151,2104
346,2751,170,16.5,29.1,47.6,259,121,2069
347,2636,197,14.8,30.5,51.3,338,122,1988
348,2737,176,15.8,29.9,46.5,310,190,2047
349,2691,165,15.4,28.5,49.2,373,204,2033
350,2704,196,15.0,31.7,50.4,251,219,1916
351,2794,179,14.3,28.9,50.9,273,192,2109
352,2797,196,15.8,28.1,46.3,369,168,2120
353,2793,167,17.1,29.7,47.4,338,101,2140
354,2767,180,14.3,32.5,49.9,319,97,2067
355,2630,180,13.8,31.2,52.6,386,236,1917
356,2757,173,17.2,31.6,53.9,375,164,2028
357,2752,199,13.5,32.4,48.2,376,143,2102
358,2731,171,13.3,31.3,49.5,245,145,2093
359,2632,173,14.0,31.1,54.1,330,200,1902
360,2761,182,16.3,29.4,45.8,253,178,2062
361,2671,188,15.2,29.9,51.4,253,192,2003
362,2778,187,17.6,31.5,49.4,339,129,2055
363,2682,183,14.5,30.4,51.2,354,162,2055
364,2795,168,12.8,30.6,54.2,234,106,2183
365,2640,193,15.2,32.5,49.7,263,241,1876
366,2670,170,16.4,28.8,49.1,272,88,2032
367,2678,179,15.1,28.0,46.0,284,197,1968
368,2751,179,15.6,29.7,45.1,317,105,2149
369,2708,173,15.4,28.6,46.0,256,101,2055
370,2676,173,14.8,31.6,54.6,266,92,2022
371,2602,204,16.4,29.7,52.9,390,113,2018
372,2757,193,17.7,27.9,46.1,261,225,2072
373,2689,192,14.4,28.2,48.0,251,138,2065
374,2753,203,14.2,32.2,45.3,307,127,2056
375,2730,177,17.0,29.0,45.6,291,201,2012
376,2661,196,16.3,27.9,54.8,233,167,2065
377,2633,189,17.7,30.3,49.0,274,195,1985
378,2797,169,12.6,27.8,47.9,240,90,2238
379,2701,197,14.2,31.1,53.4,338,177,1957
380,2737,199,16.2,28.9,48.4,360,127,2133
381,2639,199,14.5,30.4,53.4,246,154,2004
382,2786,180,12.8,27.9,49.8,346,231,2116
383,2679,176,13.2,31.0,52.7,271,202,2042
384,2733,198,17.2,31.1,46.8,262,143,2052
385,2630,166,14.5,29.6,50.8,297,222,1966
386,2727,194,15.6,27.8,54.5,272,169,2027
387,2797,171,17.9,30.9,46.3,360,75,2048
388,2603,180,12.8,29.3,55.1,275,84,2024
389,2782,191,13.8,28.7,55.1,311,144,2162
390,2746,188,13.2,30.9,45.6,287,207,2094
391,2702,169,17.8,31.8,53.5,309,158,1928
392,2716,165,14.7,29.0,53.6,389,137,2061
393,2751,196,18.5,31.4,53.1,369,137,1983
394,2704,166,13.9,29.2,54.2,232,160,1988
395,2768,189,17.6,31.1,46.1,365,135,2041
396,2615,174,16.8,28.0,55.1,363,180,1990
397,2695,194,18.3,27.9,46.1,264,238,2025
398,2619,202,15.9,29.7,55.6,290,149,1938
399,2680,190,16.7,31.2,48.5,299,134,1940
400,2651,173,17.2,30.4,46.7,272,190,1945
401,2704,172,15.7,32.3,47.3,308,193,1943
402,2630,170,13.4,30.9,54.1,384,85,1975
403,2683,174,13.0,28.7,48.9,361,87,2105
404,2666,176,12.7,29.5,50.0,370,138,1987
405,2626,173,13.2,27.8,53.6,286,108,2006
406,2702,188,16.6,32.2,45.9,380,141,2040
407,2619,166,18.5,28.5,52.1,262,98,2038
408,2684,172,12.8,29.8,46.8,376,185,2059
409,2701,196,12.7,30.9,46.9,284,122,2022
410,2714,174,12.7,30.6,47.7,305,202,2013
411,2740,195,12.9,28.9,46.5,281,239,2094
412,2734,180,16.3,31.5,53.7,327,166,2012
413,2800,196,14.6,30.3,48.5,299,121,2061
414,2752,179,12.7,31.6,48.1,350,210,2016
415,2749,179,18.3,28.0,52.2,298,211,2077
416,2788,168,17.1,32.2,51.3,329,165,2090
417,2644,176,13.9,29.1,53.1,321,226,1915
418,2779,187,18.2,30.3,51.2,278,201,2038
419,2644,196,12.7,27.8,51.6,235,209,2007
420,2684,204,13.7,28.2,52.9,312,90,2028
421,2750,174,17.1,31.7,54.5,248,170,2039
422,2769,190,16.0,29.2,48.5,270,186,2102
423,2724,185,13.5,32.3,52.6,387,166,1984
424,2750,176,14.8,31.2,48.2,275,75,2142
425,2746,190,17.6,31.4,51.2,276,229,1961
426,2756,179,16.3,28.0,50.5,314,94,2088
427,2681,175,16.3,32.3,54.0,315,189,1892
428,2653,180,16.7,29.3,53.7,230,87,2009
429,2787,191,18.3,31.9,50.4,326,164,2038
430,2625,195,17.2,30.4,53.3,287,116,1961
431,2608,183,12.6,28.8,46.2,317,118,2060
432,2641,169,15.8,32.0,46.0,382,232,1955
433,2780,166,15.1,30.8,51.7,341,115,2041
434,2684,178,18.3,29.5,51.1,368,142,2022
435,2676,180,13.1,29.5,51.0,355,114,1999
436,2600,192,13.0,31.6,51.9,352,126,1910
437,2652,175,16.3,32.4,50.2,259,153,1980
438,2720,196,17.9,28.8,52.1,329,122,2038
439,2697,188,13.6,27.7,49.8,297,132,2122
440,2744,168,13.4,31.0,46.1,318,213,2018
441,2793,202,13.9,27.8,49.3,363,182,2181
442,2775,195,15.9,28.7,48.3,331,83,2132
443,2732,201,16.6,30.6,46.3,344,119,2101
444,2642,178,17.4,28.1,49.7,341,126,2067
445,2760,174,17.5,28.8,55.0,247,97,2086
446,2701,200,14.5,28.9,50.0,233,234,2019
447,2800,191,13.2,28.2,51.2,379,100,2222
448,2744,171,17.2,31.8,54.7,335,142,2008
449,2724,201,16.2,27.7,48.0,266,233,2044
450,2777,190,12.7,31.9,48.6,290,87,2138
451,2668,188,12.6,31.6,48.3,301,200,2019
452,2775,171,18.3,28.6,48.3,343,157,2049
453,2706,203,16.4,28.4,47.3,334,199,2053
454,2695,168,15.6,28.3,48.4,359,178,1989
455,2734,201,12.7,28.5,54.2,244,138,2046
456,2612,188,16.7,28.9,54.1,359,176,1970
457,2631,166,14.0,29.9,49.9,351,225,1956
458,2688,175,17.5,28.8,54.1,253,147,1963
459,2612,175,17.6,31.4,47.4,286,240,1844
460,2652,182,16.4,30.1,54.5,232,196,2007
461,2765,176,16.1,27.5,47.8,308,239,2035
462,2696,187,15.3,28.6,48.3,363,234,1991
463,2626,165,15.6,30.8,54.3,325,218,1941
464,2755,183,14.3,28.0,45.7,300,238,2041
465,2670,181,16.4,32.3,52.2,278,113,1982
466,2661,168,17.3,31.5,51.6,311,110,2006
467,2767,196,18.5,28.8,49.6,329,84,2113
468,2746,177,14.6,31.1,52.5,351,166,2044
469,2643,200,13.6,28.0,46.4,296,218,2026
470,2646,186,16.4,28.6,47.5,308,182,2017
471,2684,188,14.1,29.0,54.4,350,88,2115
472,2749,202,18.2,27.9,54.8,358,105,2139
473,2697,198,14.3,27.8,54.4,265,126,2059
474,2745,194,13.4,31.8,47.0,250,199,2004
475,2645,185,16.3,27.5,48.0,273,222,2011
476,2725,170,13.3,29.7,49.7,339,197,2029
477,2609,199,13.7,29.4,45.2,312,210,1914
478,2773,165,16.3,28.7,52.6,318,154,2047
479,2698,197,16.0,28.3,54.1,306,149,2041
480,2733,203,15.6,29.7,52.6,264,162,2107
481,2725,187,17.0,28.3,55.0,333,79,2061
482,2786,173,13.8,27.6,50.6,261,168,2156
483,2609,189,17.8,28.8,50.9,242,227,1978
484,2769,171,16.4,27.6,52.6,336,188,2073
485,2740,181,15.3,28.3,52.6,232,152,2072
486,2625,198,14.1,30.5,46.5,256,205,1972
487,2630,183,13.2,28.0,47.2,281,142,2065
488,2651,187,16.7,29.0,45.4,357,128,2028
489,2723,186,13.9,27.6,46.0,258,221,2076
490,2638,170,17.2,27.9,53.0,295,239,1920
491,2675,181,15.3,28.0,46.9,240,149,2022
492,2773,185,15.1,28.1,54.4,241,77,2191
493,2769,175,14.5,32.0,55.5,298,98,2066
494,2687,176,13.2,29.5,50.0,328,197,2054
495,2766,175,13.2,31.0,45.6,270,101,2093
496,2751,195,17.3,30.9,47.0,327,166,2041
497,2775,173,15.4,29.9,54.8,342,86,2064
498,2767,185,12.6,31.8,50.8,377,219,2004
499,2771,186,15.6,30.9,51.8,340,244,2045
500,2723,187,16.5,30.7,46.6,372,231,1930
501,2764,175,15.5,29.8,50.5,272,94,2135
502,2682,180,14.5,28.9,50.6,370,239,1977
503,2660,170,15.3,31.5,49.9,357,189,1933
504,2727,166,13.1,29.6,51.1,230,98,2132
505,2758,205,14.3,30.0,47.3,346,162,2056
506,2613,179,17.6,29.2,53.4,383,196,1958
507,2693,193,13.2,31.3,47.4,317,165,2051
508,2674,200,15.6,31.0,45.5,272,201,1922
509,2783,191,13.1,30.6,47.1,330,130,2103
510,2800,177,16.8,28.0,49.6,380,106,2175
511,2715,194,16.5,32.3,46.5,357,76,2035
512,2612,200,18.1,31.7,50.3,360,120,1951
513,2644,173,13.1,30.8,51.7,312,204,2009
514,2707,203,18.0,31.3,48.0,317,150,1986
515,2634,173,15.0,31.0,53.2,306,215,1976
516,2782,200,16.3,28.5,51.9,304,163,2147
517,2633,176,15.5,31.0,48.5,259,165,1960
518,2749,201,18.2,31.1,52.4,366,148,2070
519,2708,165,15.6,27.6,46.6,244,126,2051
520,2641,183,16.6,28.2,45.7,305,127,2041
521,2608,187,17.4,28.0,54.5,373,132,2009
522,2743,189,13.9,31.4,53.8,303,245,1948
523,2697,189,15.0,31.4,52.5,371,88,1979
524,2664,177,16.2,31.4,54.6,287,237,1953
525,2765,188,17.0,30.2,51.6,279,150,2053
526,2774,169,13.6,28.4,50.7,326,85,2144
527,2742,181,13.3,30.4,47.8,314,194,2072
528,2639,167,13.4,29.1,45.6,390,232,2010
529,2677,196,17.2,30.3,45.8,311,209,1927
530,2647,198,12.9,30.0,49.6,367,178,1944
531,2656,178,16.5,29.2,48.2,388,210,1963
532,2743,165,13.2,29.2,47.6,387,234,2015
533,2610,185,14.8,31.5,46.2,295,213,1936
534,2606,198,17.4,29.4,53.8,344,199,1870
